Record Length,Analog:14000
Sample Interval,CH:0.0001999999949
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E-01 CH2:+1.000000E-02,,,
Vertical Offset,CH1:+0.000000E+00 CH2:-1.420000E-02,,,
Horizontal Units,us,,,
Horizontal Scale,200000.0000000000,,,
Model Number,SDS2352X-E,,,
Serial Number,SDS2ECCX5R0313,,,
Software Version,2.1.1.1.20 R3,,,
Source,CH1,CH2
Second,Volt,Volt
-1.358800E+00,-1.360000E-01,+4.580000E-02
-1.358600E+00,-1.440000E-01,+4.540000E-02
-1.358400E+00,-1.440000E-01,+4.580000E-02
-1.358200E+00,-1.440000E-01,+4.620000E-02
-1.358000E+00,-1.440000E-01,+4.620000E-02
-1.357800E+00,-1.440000E-01,+4.620000E-02
-1.357600E+00,-1.440000E-01,+4.620000E-02
-1.357400E+00,-1.360000E-01,+4.580000E-02
-1.357200E+00,-1.360000E-01,+4.620000E-02
-1.357000E+00,-1.360000E-01,+4.620000E-02
-1.356800E+00,-1.360000E-01,+4.660000E-02
-1.356600E+00,-1.360000E-01,+4.660000E-02
-1.356400E+00,-1.280000E-01,+4.660000E-02
-1.356200E+00,-1.280000E-01,+4.700000E-02
-1.356000E+00,-1.280000E-01,+4.700000E-02
-1.355800E+00,-1.280000E-01,+4.660000E-02
-1.355600E+00,-1.280000E-01,+4.700000E-02
-1.355400E+00,-1.200000E-01,+4.700000E-02
-1.355200E+00,-1.200000E-01,+4.700000E-02
-1.355000E+00,-1.200000E-01,+4.700000E-02
-1.354800E+00,-1.200000E-01,+4.700000E-02
-1.354600E+00,-1.200000E-01,+4.740000E-02
-1.354400E+00,-1.200000E-01,+4.700000E-02
-1.354200E+00,-1.200000E-01,+4.700000E-02
-1.354000E+00,-1.200000E-01,+4.740000E-02
-1.353800E+00,-1.120000E-01,+4.740000E-02
-1.353600E+00,-1.120000E-01,+4.740000E-02
-1.353400E+00,-1.200000E-01,+4.740000E-02
-1.353200E+00,-1.120000E-01,+4.740000E-02
-1.353000E+00,-1.120000E-01,+4.740000E-02
-1.352800E+00,-1.120000E-01,+4.780000E-02
-1.352600E+00,-1.120000E-01,+4.780000E-02
-1.352400E+00,-1.120000E-01,+4.780000E-02
-1.352200E+00,-1.120000E-01,+4.780000E-02
-1.352000E+00,-1.120000E-01,+4.780000E-02
-1.351800E+00,-1.040000E-01,+4.740000E-02
-1.351600E+00,-1.040000E-01,+4.740000E-02
-1.351400E+00,-1.040000E-01,+4.740000E-02
-1.351200E+00,-1.040000E-01,+4.780000E-02
